2018_summer																			
mid	kda	킬관여율	KT_Ucal	KT_Pawn	FIN_Chovy	FIN_Rather	KZ_Bdd	GEN_G_Crown	GEN_G_Fly	Afreeca_Kuro	Afreeca_Ruby	HLE_Lava	HLE_Kuzan	SKT_T1_Faker	SKT_T1_Pirean	Jin_Air_Grace	Jin_Air_Justice	MVP_Ian	BBQ_Tempt
KT_Ucal	4.2	0.69	x	x	0.8	x	0.2	x	1	0.5	x	0.5	x	0.5	x	1	x	1	0.857
KT_Pawn	1	0.71	x	x	x	x	x	x	x	x	x	x	x	x	x	0	x	x	x
FIN_Chovy	9.1	0.688	0.2	x	x	x	1	0.5	0.333	0.667	x	1	x	1	1	0.5	x	1	0.75
FIN_Rather	4.3	0.625	x	x	x	x	x	x	x	0	x	0.5	x	x	x	0.5	1	1	1
KZ_Bdd	4.8	0.633	0.8	x	0	x	x	x	0.2	0.8	x	0.667	x	1	1	0.5	x	1	1
Gen_G_Crown	3	0.737	x	x	0.5	x	x	x	x	x	x	x	x	x	x	1	x	x	x
Gen_G_Fly	4.9	0.739	0	x	0.667	x	0.8	x	x	0.4	x	0.667	x	1	0.333	0.75	x	1	0.8
Afreeca_Kuro	5.1	0.721	0.5	x	0.333	1	0.2	x	0.6	x	x	0.333	x	1	0.667	0.8	x	0.8	0.6
Afreeca_Ruby	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
HLE_Lava	3.5	0.72	0.5	x	0	0.5	0.333	x	0.333	0.667	x	x	x	0.667	0	0.8	x	1	0.8
HLE_Kuzan	2	0.4	x	x	x	x	x	x	x	x	x	x	x	x	0	x	x	x	x
SKT_T1_Faker	3.1	0.729	0.5	x	0	x	0	x	0	0	x	0.333	x	x	x	1	x	0.667	1
SKT_T1_Pirean	3.2	0.663	x	x	0	x	0	x	0.667	0.333	x	1	1	x	x	1	x	0.333	0.667
Jin_Air_Grace	2.7	0.604	0	1	0.5	0.5	0.5	0	0.25	0.2	x	0.2	x	0	0	x	x	0.4	0.6
Jin_Air_Justice	0	0	x	x	x	0	x	x	x	x	x	x	x	x	x	x	x	x	x
MVP_Ian	2.8	0.655	0	x	0	0	0	x	0	0.2	x	0	x	0.333	0.667	0.6	x	x	0.8
BBQ_Tempt	3.1	0.658	0	x	0.25	0	0	x	0.2	0.4	x	0.2	x	0	0.337	0.4	x	0.2	x
