2017_spring,,,,,,,,,,,,,
AD,KDA,킬관여율,KT_Deft,Longzhu_Pray,SSG_Ruler,SSG_Stitch,Afreeca_kramer,Rox_Sangyoon,SKT_T1_Bang,Jin_Air_Teddy,MVP_Maha,BBQ_Ghost,KDM_Ssol
KT_Deft,4.7,0.588,x,1,0.6,x,0.667,1,0.333,0.8,0.2,1,0.6
Longzhu_Pray,2.9,0.618,0,x,0.2,x,0.5,0.667,0.333,0.4,0.4,0.8,0.6
SSG_Ruler,5.2,0.578,0.4,0.8,x,x,0.4,0.75,0.667,1,1,1,1
SSG_Stitch,4.3,0.521,x,x,x,x,0,1,0,1,1,0.667,x
Afreeca_kramer,5.6,0.645,0.333,0.5,0.6,1,x,0.4,0.6,0.5,0.6,0.4,0.8
Rox_Sangyoon,4.2,0.675,0,0.333,0.25,0,0.6,x,0.2,0.8,0.4,0.667,0.667
SKT_T1_Bang,6.5,0.613,0.667,0.667,0.333,1,0.4,0.8,x,1,1,1,1
Jin_Air_Teddy,4.1,0.678,0.2,0.6,0,0,0.5,0.2,0,x,0.333,0.4,0.5
MVP_Maha,3.6,0.642,0.8,0.6,0,0,0.4,0.6,0,0.667,x,0.6,0.8
BBQ_Ghost,3.1,0.669,0,0.2,0,0.333,0.6,0.333,0,0.6,0.4,x,0.8
KDM_Ssol,2.7,0.684,0.4,0.4,0,x,0.2,0.333,0,0.5,0.2,0.2,x
