2017_summer,,,,,,,,,,,,,,,
Top,KDA,킬관여율,KT_smeb,Longzhu_Expession,SSG_Cuvee,Afreeca_Marin,Rox_Lindarang,Rox_Shy,SKT_T1_Profit,SKT_T1_Huni,Jin_Air_Ikssu,Jin_Air_Sohwan,MVP_Add,BBQ_Crazy,KDM_Roach
KT_smeb,3.3,0.619,x,1,0.6,0.667,1,x,0,0.4,0.75,1,0.2,1,0.6
Longzhu_Expession,2.8,0.585,0,x,0.2,0.5,0.667,0.667,0,0.5,0.4,x,0.4,0.8,0.6
SSG_Cuvee,3.8,0.578,0.4,0.8,x,0.333,0.75,1,1,0,1,x,1,0.8,1
Afreeca_Marin,3.1,0.652,0.333,0.5,0.667,x,x,0.4,x,0.6,0.333,1,0.6,0.4,0.8
Rox_Lindarang,2.5,0.619,0,0.333,0.25,x,x,x,x,0,1,0.75,0,x,x
Rox_Shy,3.6,0.585,x,0.333,0,0.6,x,x,x,0.25,x,x,0.667,0.667,0.667
SKT_T1_Profit,8.7,0.7,1,1,0,x,x,x,x,x,1,x,x,1,1
SKT_T1_Huni,5.1,0.596,0.4,0.5,1,0.4,1,0.75,x,x,1,x,1,1,1
Jin_Air_Ikssu,2.5,0.588,0.25,0.6,0,0.667,0,x,0,0,x,x,0.333,0,0
Jin_Air_Sohwan,2.6,0.619,0,x,x,0,0.25,x,x,x,x,x,x,x,0.75
MVP_Add,2.4,0.59,0.8,0.6,0,0.4,1,0.333,x,0,0.667,x,x,0.6,0.8
BBQ_Crazy,3.6,0.593,0,0.2,0.2,0.6,x,0.333,0,0,1,x,0.4,x,0.8
KDM_Roach,1.8,0.516,0.4,0.4,0,0.2,x,0.333,0,0,1,0.25,0.2,0.2,x
