2017_Spring,,,,,,,,,,,,
mid,KDA,킬관여율,KT_Pawn,Longzhu_Fly,SSG_Crown,Afreeca_Kuro,Rox_Mickey,SKT_T1_Faker,Jin_Air_Kuzan,MVP_Ian,BBQ_Tempt,KDM_Edge
KT_Pawn,3.4,0.619,x,1,0.6,0.667,1,0.333,0.8,0.2,1,0.6
Longzhu_Fly,3.5,0.638,0,x,0.2,0.5,0.667,0.333,0.4,0.4,0.8,0.6
SSG_Crown,4.2,0.589,0.4,0.8,x,0.333,0.8,0.5,1,1,0.8,1
Afreeca_Kuro,3.7,0.632,0.333,0.5,0.667,x,0.4,0.6,0.5,0.6,0.4,0.8
Rox_Mickey,2.7,0.737,0,0.333,0.2,0.6,x,0.2,0.8,0.4,0.667,0.667
SKT_T1_Faker,4.7,0.653,0.667,0.667,0.5,0.4,0.8,x,1,1,1,1
Jin_Air_Kuzan,3.2,0.633,0.2,0.6,0,0.5,0.2,0,x,0.333,0.4,0.5
MVP_Ian,2.6,0.595,0.8,0.6,0,0.4,0.6,0,0.667,x,0.6,0.8
BBQ_Tempt,3.3,0.661,0,0.2,0.2,0.6,0.333,0,0.6,0.4,x,0.8
KDM_Edge,3,0.69,0.4,0.4,0,0.2,0.333,0,0.5,0.2,0.2,x
