2017_summer,,,,,,,,,,,,,,,,
Top,KDA,킬관여율,KT_smeb,Longzhu_Khan,SSG_Cuvee,Afreeca_Marin,Rox_Lindarang,Rox_Shy,SKT_T1_Untara,SKT_T1_Huni,Jin_Air_Ikssu,Jin_Air_Sohwan,MVP_Add,BBQ_Crazy,EEW_Helper,EEW_Kiin
KT_smeb,4.3,0.673,x,0.5,0.667,0.667,0.6,0,0,0.667,1,0.667,1,0.8,1,0.667
Longzhu_Khan,4.1,0.637,0.5,x,0.6,0.667,1,x,1,0.333,0.5,0.667,0.8,0.8,1,1
SSG_Cuvee,3.5,0.551,0.333,0.4,x,0.8,0.667,x,x,1,0.25,1,0.6,1,1,1
Afreeca_Marin,2.8,0.588,0.333,0.333,0.2,x,0.75,0.5,0.333,1,1,1,0.6,0.667,0.667,1
Rox_Lindarang,2.3,0.611,0.4,0,0.333,0.25,x,x,0,x,0,x,1,1,0.667,x
Rox_Shy,1.3,0.456,1,x,x,0.5,x,x,x,x,0,0,1,0,x,0
SKT_T1_Untara,2.9,0.512,1,0,x,0.667,1,x,x,x,1,0,1,0.5,1,1
SKT_T1_Huni,1.5,0.598,0.333,0.667,0,0,x,x,x,x,x,x,1,1,x,x
Jin_Air_Ikssu,2.7,0.653,0,0.5,0.75,0,1,1,0,x,x,x,0.333,0.667,x,x
Jin_Air_Sohwan,3.2,0.61,0.333,0.333,0,0,x,1,1,x,x,x,0.333,0,1,1
MVP_Add,1.6,0.553,0,0.2,0.4,0.4,0,0,0,0,0.667,0.667,x,0.8,0,0
BBQ_Crazy,2.6,0.584,0.2,0.2,0,0.333,0,1,0.5,0,0.333,1,0.2,x,0.667,0.667
EEW_Helper,2.3,0.618,0,0,0,0.333,0.333,x,0,x,x,0,1,0.333,x,x
EEW_Kiin,2.4,0.531,0.333,0,0,0,x,1,0,x,x,0,1,0.333,x,x
