2018_spring,,,,,,,,,,,,,,,,,,,
Jg,KDA,킬관여율,KT_Score,KT_Rush,KZ_Cuzz,KZ_Peanut,KSV_Ambition,KSV_Haru,Afreeca_Spirit,Afreeca_Mowgli,Rox_Seonghwan,SKT_T1_Blank,SKT_T1_Blossom,Jin_Air_Umti,MVP_Beyond,BBQ_Bono,BBQ_Trick,KDM_U_Jun,KDM_Raise
KT_Score,4.4,0.762,x,x,x,0,0.5,1,0.333,x,0.4,0.8,x,0.8,1,x,0.667,1,1
KT_Rush,5,0.605,x,x,x,x,x,x,1,1,x,x,x,x,x,x,x,x,x
KZ_Cuzz,4.2,0.692,x,x,x,x,x,x,1,x,x,1,x,x,x,x,x,1,x
KZ_Peanut,8.5,0.774,1,x,x,x,0.25,1,0.5,x,0.8,1,1,1,1,x,0.6,1,1
KSV_Ambition,2.2,0.637,0.5,x,x,0.75,x,x,0,x,0,0,0,0.8,0.667,0,1,x,1
KSV_Haru,2,0.697,0,x,x,0,x,x,1,x,0.5,0,0,x,0.5,1,x,x,0.333
Afreeca_Spirit,4.3,0.666,0.667,0,0,0.5,1,0,x,x,1,1,1,0.333,1,x,1,x,1
Afreeca_Mowgli,7.5,0.811,x,0,x,x,x,x,x,x,1,x,0.5,0.5,1,x,1,x,x
Rox_Seonghwan,3.3,0.775,0.6,x,x,0.2,1,0.5,0,0,x,1,0,0.5,0.5,x,0.8,1,0.667
SKT_T1_Blank,3.9,0.757,0.2,x,0,0,1,1,0,x,0,x,x,x,0.6,x,0.667,x,0.667
SKT_T1_Blossom,2.4,0.687,x,x,x,0,1,1,0,0.5,1,x,x,0.667,x,0.667,x,1,0.5
Jin_Air_Umti,3,0.686,0.2,x,x,0,0.2,x,0.667,0.5,0.5,x,0.333,x,0.8,x,0,1,1
MVP_Beyond,1.9,0.66,0,x,x,0,0.333,0.5,0,0,0.5,0.4,x,0.2,x,1,1,1,0.25
BBQ_Bono,2.8,0.618,x,x,x,x,1,0,x,x,x,x,0.333,x,0,x,x,x,x
BBQ_Trick,2.8,0.705,0.333,x,x,0.4,0,x,0,0,0.2,0.333,x,1,0,x,x,x,0.8
KDM_U_Jun,1.9,0.823,0,x,0,0,x,x,x,x,0,x,0,0,0,x,x,x,x
KDM_Raise,1.8,0.75,0,x,x,0,0,0.667,0,x,0.333,0.333,0.5,0,0.75,x,0.2,x,x
