2018_spring,,,,,,,,,,,,,,
Top,KDA,킬관여율,KT_Smeb,KZ_Khan,KZ_Rascal,KSV_Cuvee,Afreeca_Kiin,Rox_Lindarang,SKT_T1_Thal,SKT_T1_Untara,Jin_Air_Sohwan,MVP_Add,BBQ_Crazy,KDM_Roach
KT_Smeb,3.9,0.666,x,0,x,0.6,0.6,0.4,0.5,1,0.8,1,0.667,1
KZ_Khan,6,0.627,1,x,x,0.667,0.8,0.8,1,1,1,1,0.667,1
KZ_Rascal,4.1,0.587,x,x,x,0,x,x,x,x,x,1,0.5,1
KSV_Cuvee,2.2,0.633,0.4,0.333,1,x,0.4,0.333,0,x,0.8,0.6,0.8,0.5
Afreeca_Kiin,4,0.56,0.4,0.2,x,0.6,x,1,x,0.8,0.4,1,1,1
Rox_Lindarang,2.8,0.625,0.6,0.2,x,0.667,0,x,x,0.2,0.5,0.5,0.8,0.8
SKT_T1_Thal,3.6,0.562,0.5,0,x,1,x,x,x,x,0,0.6,0.6,0.667
SKT_T1_Untara,2.3,0.493,0,0,x,x,0.2,0.8,x,x,0.6,x,0,x
Jin_Air_Sohwan,3.1,0.539,0.2,0,x,0.2,0.6,0.5,1,0.4,x,0.8,0,1
MVP_Add,1.9,0.639,0,0,0,0.4,0,0.5,0.4,x,0.2,x,1,0.4
BBQ_Crazy,3.3,0.62,0.333,0.333,0.5,0.2,0,0.2,0.4,1,1,0,x,0.8
KDM_Roach,1.7,0.496,0,0,0,0.5,0,0.2,0.333,x,0,0.6,0.2,x
