"2018_summer																			",,,,,,,,,,,,,,,,,
Top,KDA,킬관여율,KT_Smeb,KT_Kingen,FIN_Sword,KZ_Khan,KZ_Rascal,Gen_G_Cuvee,Gen_G_Mong,Afreeca_Kiin,HLE_Lindarang,HLE_Brook,SKT_T1_Thal,SKT_T1_Untara,Jin_Air_Sohwan,MVP_Add,BBQ_Crazy
KT_Smeb,4.7,0.624,x,x,0.8,0.25,0,1,x,0.5,0.5,x,0.6,x,0.8,1,1
KT_Kingen,1,1,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x
FIN_Sword,4.3,0.634,0.2,x,x,1,x,0.4,x,0.5,0.8,x,1,x,0.6,1,0.8
KZ_Khan,3.2,0.596,0.75,x,0,x,x,0.2,x,0.8,0.5,x,1,x,0.5,1,1
KZ_Rascal,15,0.63,1,x,x,x,x,x,x,x,1,x,x,x,x,x,x
Gen_G_Cuvee,3.1,0.607,0,x,0.6,0.8,x,x,x,0..4,0.8,x,0.6,x,0.8,1,0.8
Gen_G_Mong,1,0.75,x,x,x,x,x,x,x,x,0,x,x,x,x,x,x
Afreeca_Kiin,3.9,0.629,0.5,x,0.5,0.2,x,0.6,x,x,0.333,x,0.8,x,0.8,1,0.6
HLE_Lindarang,2.5,0.576,0.5,x,0.2,0.5,0,0.2,1,0.667,x,x,0.5,x,0.8,1,0.8
HLE_Brook,3.5,0.7,x,x,x,x,x,x,x,x,x,x,0,x,x,x,x
SKT_T1_Thal,2.3,0.589,0.4,1,0,0,x,0.4,x,0.2,0.5,1,x,x,1,0.5,0.8
SKT_T1_Untara,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Jin_Air_Sohwan,2.5,0.582,0.2,x,0.4,0.5,x,0.2,x,0.2,0.2,x,0,x,x,0.4,0.6
MVP_Add,2.1,0.641,0,x,0,0,x,0,x,0,0,x,0.5,x,0.6,x,0.8
BBQ_Crazy,2.2,0.53,0,x,0.2,0,x,0.2,x,0.4,0.2,x,0.2,x,0.4,0.2,x
