2017_spring,,,,,,,,,,,,,
Sup,KDA,킬관여율,KT_Mata,Longzhu_Gorilla,SSG_Corejj,SSG_Wraith,Afreeca_Tusin,Rox_Key,SKT_T1_Wolf,Jin_Air_SnowFlower,MVP_Max,BBQ_Totoro,KDM_Guger
KT_Mata,3.6,0.618,x,1,0.6,x,0.667,1,0.333,0.8,0.2,1,0.6
Longzhu_Gorilla,2.5,0.64,0,x,0.2,x,0.5,0.667,0.333,0.4,0.4,0.8,0.6
SSG_Corejj,5.4,0.634,0.4,0.8,x,x,0.333,0.75,0.667,1,1,1,1
SSG_Wraith,3.1,0.55,x,x,x,x,x,1,0,1,x,0.667,1
Afreeca_Tusin,0.32,0.647,0.333,0.5,0.667,x,x,0.4,0.6,0.5,0.6,0.4,1
Rox_Key,2.7,0.67,0,0.333,0.25,0,0.6,x,0.2,0.8,0.4,0.667,0.6
SKT_T1_Wolf,5.5,0.666,0.667,0.667,0.333,1,0.4,0.8,x,1,1,1,1
Jin_Air_SnowFlower,2.4,0.675,0.2,0.6,0,0,0.5,0.2,0,x,0.333,0.4,0.5
MVP_Max,3,0.645,0.8,0.6,0,x,0.4,0.6,0,0.667,x,0.6,0.75
BBQ_Totoro,3.4,0.657,0,0.2,0,0.333,0.6,0.333,0,0.6,0.4,x,0.8
KDM_Guger,2.2,0.655,0.4,0.4,0,0,0,0.4,0,0.5,0.25,0.2,x
