2017_summer,,,,,,,,,,,,
AD,KDA,킬관여율,KT_Deft,Longzhu_Pray,SSG_Ruler,Afreeca_kramer,Rox_Sangyoon,SKT_T1_Bang,Jin_Air_Teddy,MVP_Maha,BBQ_Ghost,EEW_Deul
KT_Deft,5.8,0.618,x,0.5,0.667,0.667,0.5,0.333,0.8,1,0.8,0.8
Longzhu_Pray,4.7,0.633,0.5,x,0.6,0.667,1,0.6,0.5,0.8,0.8,1
SSG_Ruler,3.9,0.644,0.333,0.4,x,0.8,0.667,1,0.4,0.6,1,1
Afreeca_kramer,4.2,0.605,0.333,0.333,0.2,x,0.667,0.6,1,0.6,0.667,0.8
Rox_Sangyoon,4.2,0.71,0.5,0,0.333,0.333,x,0,0,1,0.8,0.4
SKT_T1_Bang,4.9,0.649,0.667,0.4,0,0.4,1,x,0.5,1,0.8,1
Jin_Air_Teddy,3.5,0.634,0.2,0.5,0.6,0,1,0.5,x,0.333,0.5,1
MVP_Maha,3.4,0.618,0,0.2,0.4,0.4,0,0,0.667,x,0.8,0
BBQ_Ghost,2.9,0.629,0.2,0.2,0,0.333,0.2,0.2,0.5,0.2,x,0.667
EEW_Deul,2.8,0.618,0.2,0,0,0.2,0.6,0,0,1,0.333,x
