2017_summer,,,,,,,,,,,,,
Sup,KDA,킬관여율,KT_Mata,Longzhu_Gorilla,SSG_Corejj,Afreeca_Tusin,Rox_Key,SKT_T1_Wolf,Jin_Air_SnowFlower,MVP_Max,BBQ_Totoro,EEW_Ella,EEW_Comeback
KT_Mata,5,0.651,x,0.5,0.667,0.667,0.5,0.333,0.8,1,0.8,0.8,x
Longzhu_Gorilla,4.2,0.659,0.5,x,0.6,0.667,1,0.6,0.5,0.8,0.8,1,x
SSG_Corejj,4.8,0.68,0.333,0.4,x,0.8,0.667,1,0.4,0.6,1,1,x
Afreeca_Tusin,3.5,0.677,0.333,0.333,0.2,x,0.667,0.6,1,0.6,0.667,0.8,x
Rox_Key,2.8,0.775,0.5,0,0.333,0.333,x,0,0,1,0.8,0.4,x
SKT_T1_Wolf,3.4,0.683,0.667,0.4,0,0.4,1,x,0.5,1,0.8,1,1
Jin_Air_SnowFlower,2.6,0.679,0.2,0.5,0.6,0,1,0.5,x,0.333,0.5,1,1
MVP_Max,3.1,0.695,0,0.2,0.4,0.4,0,0,0.667,x,0.8,0,0
BBQ_Totoro,2.7,0.607,0.2,0.2,0,0.333,0.2,0.2,0.5,0.2,x,x,0.667
EEW_Ella,2,0.588,0.2,0,0,0.2,0.6,0,0,1,x,x,x
EEW_Comeback,1.9,0.615,x,x,x,x,x,0,0,1,0.333,x,x
