2018_spring,,,,,,,,,,,,,,
AD,KDA,킬관여율,KT_Deft,KZ_Pray,KSV_Ruler,Afreeca_Kramer,Afreeca_Aiming,Rox_Sangyoon,SKT_T1_Bang,Jin_Air_Teddy,MVP_Maha,MVP_Pilot,BBQ_Ghost,KDM_Ssol
KT_Deft,5,0.667,x,0,0.6,0.6,x,0.4,0.8,0.8,1,1,0.667,1
KZ_Pray,7.9,0.659,1,x,0.4,0.75,1,0.8,1,1,1,1,0.6,1
KSV_Ruler,3.2,0.678,0.4,0.6,x,0.667,0,0.333,0,0.8,1,0.333,0.8,0.5
Afreeca_Kramer,7.9,0.741,0.4,0.25,0.333,x,x,1,1,0.4,1,1,1,1
Afreeca_Aiming,6.1,0.78,x,0,1,x,x,1,0.5,x,x,x,x,x
Rox_Sangyoon,4,0.616,0.6,0.2,0.667,0,0,x,0.2,0.5,1,0,0.8,0.8
SKT_T1_Bang,9.6,0.725,0.2,0,1,0,0.5,0.8,x,0.5,0.5,0.667,0.5,0.667
Jin_Air_Teddy,5.4,0.727,0.2,0,0.2,0.6,x,0.5,0.5,x,1,0.75,0,1
MVP_Maha,2,0.679,0,0,0,0,x,0,0.5,0,x,x,x,0
MVP_Pilot,5.4,0.704,0,0,0.667,0,x,1,0.333,0.25,x,x,1,0.667
BBQ_Ghost,3.4,0.635,0.333,0.4,0.2,0,x,0.2,0.5,1,x,0,x,0.8
KDM_Ssol,2.9,0.702,0,0,0.5,0,x,0.2,0.333,0,1,0.333,0.2,x
